X1,Author,Year,Substudy,Setting,Measured,Measure_Unit,Brand,Device,device_name,device_year,Wear_Location,Wear_Info,Type,Good?,Criterion_Measure,Criterion_Type,Wear_Info_crit,Wear_Location_crit,population_n,population_m,population_f,population,age_code,health_code,age,age_SD,weight,weight_SD,height,height_SD,BMI,BMI_SD,location,activity_type,test_type,activity_type_code,body_Motion,pace_code,pace_value,incline_code,incline_pct,activity_details,bout_rest,epoch,actual_n_analyzed,trend,CC_type,CC,CC_bins,CC_all,CC_CI_pct,CC_CI_upper,CC_CI_lower,CC_pvalue,CC_significance,ES_type,ES,ES_CI_upper,ES_CI_lower,BA_LoA_upper,BA_LoA_lower,BA_LoA_width,devicemean,devicemean_SD,critmean,critmean_SD,device_v_crit,meandiff,meandiff_SD,meandiff_CI_upper,meandiff_CI_lower,MPE,MPE_bin,MPE_SD,MPE_significance_test,MPE_significance_num,MAD,MAD_SD,MAD_CI_upper,MAD_CI_lower,MAPE,MAPE_bin,MAPE_SD,MAPE_CI_upper,MAPE_CI_lower,RMSE,equivalencetesting,accuracypct,accuracypct_CI_upper,accuracypct_CI_lower,TEEstandardized,TEEstandardized_CI_upper,TEEstandardized_CI_lower,deviceSE,deviceCofV,critCofV,n_5pctofcrit,n_10pctofcrit,n_15pctofcrit,n_20pctofcrit,n_25pctofcrit,systematicbias_slope,systematicbias_intercept,systematicbias_probability,systematicbias_significance,Other
172,Boudreaux,2018,-,Controlled,HR,bpm,Fitbit,Blaze,Fitbit Blaze,2016,Wrist,"wrist, random",full-text,y,Electrocardiography (Quinton Q4500),ECG,upper torso,Torso,50,22,28,healthy adults,A,H,22.71,2.99,67.79,14.01,162.71,5.79,25.83,4.83,"LA, USA",Rest: Seated,Rest,Se,NA,NA,NA,N,NA,"rest, 5 min, mean of session",NA,average of session,50,"Across all devices, as exercise intensity increased, there was greater underestimation of HR. No device was valid for EE during cycling or resistance exercise.",ICC,0.92,VS,0.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,under,-1.04,6.74,-14.26,12.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0443,over 3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
173,Boudreaux,2018,-,Controlled,HR,bpm,Fitbit,Blaze,Fitbit Blaze,2016,Wrist,"wrist, random",full-text,y,Electrocardiography (Quinton Q4500),ECG,upper torso,Torso,50,22,28,healthy adults,A,H,22.71,2.99,67.79,14.01,162.71,5.79,25.83,4.83,"LA, USA",Cycle,Activity,Mi,Mi,NA,NA,N,NA,"cycling, graded exercise test, 0W, 2 min, mean of intensity",NA,6 time points,50,"Across all devices, as exercise intensity increased, there was greater underestimation of HR. No device was valid for EE during cycling or resistance exercise.",ICC,0.7,ST,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,under,-4.12,13.35,-30.29,22.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1008,over 3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
174,Boudreaux,2018,-,Controlled,HR,bpm,Fitbit,Blaze,Fitbit Blaze,2016,Wrist,"wrist, random",full-text,y,Electrocardiography (Quinton Q4500),ECG,upper torso,Torso,50,22,28,healthy adults,A,H,22.71,2.99,67.79,14.01,162.71,5.79,25.83,4.83,"LA, USA",Resistance Exercise,Activity,Mi,Mi,NA,NA,N,NA,"resistance exercise, 10RMs, mean of session",5 min,average of session,50,"Across all devices, as exercise intensity increased, there was greater underestimation of HR. No device was valid for EE during cycling or resistance exercise.",ICC,0.57,MOD,0.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,under,-9.82,13.58,-44.22,24.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1374,over 3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
175,Boudreaux,2018,-,Controlled,HR,bpm,Fitbit,Blaze,Fitbit Blaze,2016,Wrist,"wrist, random",full-text,y,Electrocardiography (Quinton Q4500),ECG,upper torso,Torso,50,22,28,healthy adults,A,H,22.71,2.99,67.79,14.01,162.71,5.79,25.83,4.83,"LA, USA",Cycle,Activity,Mi,Mi,NA,NA,N,NA,"cycling, graded exercise test, 50W, 2 min, mean of intensity",NA,6 time points,50,"Across all devices, as exercise intensity increased, there was greater underestimation of HR. No device was valid for EE during cycling or resistance exercise.",ICC,0.47,MOD,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,under,-10.16,22.05,-53.38,33.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1975,over 3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
176,Boudreaux,2018,-,Controlled,HR,bpm,Fitbit,Blaze,Fitbit Blaze,2016,Wrist,"wrist, random",full-text,y,Electrocardiography (Quinton Q4500),ECG,upper torso,Torso,50,22,28,healthy adults,A,H,22.71,2.99,67.79,14.01,162.71,5.79,25.83,4.83,"LA, USA",Cycle,Activity,Mi,Mi,NA,NA,N,NA,"cycling, graded exercise test, 100W, 2 min, mean of intensity",NA,6 time points,50,"Across all devices, as exercise intensity increased, there was greater underestimation of HR. No device was valid for EE during cycling or resistance exercise.",ICC,0.48,MOD,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,under,-18.34,27.58,-72.39,25.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.229,over 3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
177,Boudreaux,2018,-,Controlled,HR,bpm,Fitbit,Blaze,Fitbit Blaze,2016,Wrist,"wrist, random",full-text,y,Electrocardiography (Quinton Q4500),ECG,upper torso,Torso,50,22,28,healthy adults,A,H,22.71,2.99,67.79,14.01,162.71,5.79,25.83,4.83,"LA, USA",Cycle,Activity,Mi,Mi,NA,NA,N,NA,"cycling, graded exercise test, 150W, 2 min, mean of intensity",NA,6 time points,50,"Across all devices, as exercise intensity increased, there was greater underestimation of HR. No device was valid for EE during cycling or resistance exercise.",ICC,0.31,WK,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,under,-28.14,34.14,-95.05,38.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3097,over 3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178,Boudreaux,2018,-,Controlled,HR,bpm,Fitbit,Blaze,Fitbit Blaze,2016,Wrist,"wrist, random",full-text,y,Electrocardiography (Quinton Q4500),ECG,upper torso,Torso,25,NA,NA,healthy adults,A,H,NA,NA,NA,NA,NA,NA,NA,NA,"LA, USA",Cycle,Activity,Mi,Mi,NA,NA,N,NA,"cycling, graded exercise test, 200W, 2 min, mean of intensity",NA,6 time points,50,"Across all devices, as exercise intensity increased, there was greater underestimation of HR. No device was valid for EE during cycling or resistance exercise.",ICC,0.12,VW,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,under,-30.32,40.51,-109.72,49.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3824,over 3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
179,Gillinov,2017,-,Controlled,HR,bpm,Fitbit,Blaze,Fitbit Blaze,2016,Wrist,"wrist, random",full-text,y,Electrocardiography (Quinton Q-tel RMS),ECG,NA,NA,50,23,27,healthy adults,A,H,38,12,73,16,171,11,25,3.5,"OH, USA",Rest,Rest,Se,NA,NA,NA,N,NA,"rest, 2 min x3, 6 min
HR recorded at completion of each 2 min rest",NA,period of approx. 5 seconds,50,underestimate,CCC,0.89,VS,0.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,under,-2.8,8.2,NA,NA,NA,NA,NA,NA,NA,5.4,6.8,NA,NA,0.056,over 3%,0.064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
180,Gillinov,2017,-,Controlled,HR,bpm,Fitbit,Blaze,Fitbit Blaze,2016,Wrist,"wrist, random",full-text,y,Electrocardiography (Quinton Q-tel RMS),ECG,NA,NA,50,23,27,healthy adults,A,H,38,12,73,16,171,11,25,3.5,"OH, USA","Exercise: Elliptical, no arms",Activity,Mi,Mi,NA,NA,N,NA,"elliptical, no arms, 3 intensities x1.5 min each, total 4.5 min
light: crossramp 1, resistance 1, cadence 60-70/min
mod: crossramp 1, resistance 5, cadence 90-100/min
vig: crossramp 10, resistance 10, cadence 90-100/min
HR recorded at completion of each 1.5 min stage",2 min,period of approx. 5 seconds,50,underestimate,CCC,0.58,MOD,0.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,under,-10,15.9,NA,NA,NA,NA,NA,NA,NA,11.6,14.8,NA,NA,0.098,over 3%,0.115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
181,Dondzila,2016,-,Controlled,EE,kcal/5 min,Fitbit,Charge,Fitbit Charge,2014,Wrist,"wrist, left",full-text,y,Indirect calorimetry (Parvo Medics TrueOne 2400),indirect calorimetry,NA,NA,19,14,5,healthy adults,A,H,24.6,3.1,86.5,19.2,175.2,11.3,28,3.8,"MI, USA",Walk: Treadmill,Activity,At,Nr,Nm,1.34,N,NA,"walk, 3 mph, 5 min",5 min,unknown,19,overestimate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.5,6.1,24.3,5.8,over,NA,NA,NA,NA,0.21399177,more 3%,NA,< .05,sig,NA,NA,NA,NA,0.214,over 3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
182,Toth,2018,-,Controlled,SC,steps/wear time,Fitbit,Charge,Fitbit Charge,2014,Wrist,"wrist, DOM",full-text,y,Manual count,manual count,NA,NA,12,6,6,healthy adults,A,H,35,13,72.1,20.5,170.7,10.7,24.3,4.4,"TN, USA",Simulated Free-Living,NA,Mi,NA,NA,NA,N,NA,"all waking hours of one 24 hour period, except when changing GoPro memory card/battery",N/A,minute-by-minute,12,"underestimate, not significant",Pearson,0.876,VS,0.876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8839,4077,10921,5062,under,-2081.9,NA,NA,NA,-0.190641883,less -3%,NA,NA,NA,NA,NA,NA,NA,0.175,over 3%,NA,0.275,0.054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
183,Toth,2018,-,Controlled,SC,steps/wear time,Fitbit,Charge,Fitbit Charge,2014,Wrist,"wrist, ND",full-text,y,Manual count,manual count,NA,NA,12,6,6,healthy adults,A,H,35,13,72.1,20.5,170.7,10.7,24.3,4.4,"TN, USA",Simulated Free-Living,NA,Mi,NA,NA,NA,N,NA,"all waking hours of one 24 hour period, except when changing GoPro memory card/battery",N/A,minute-by-minute,12,underestimate,Pearson,0.88,VS,0.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8226,3907,10921,5062,under,-2695.4,NA,NA,NA,-0.246772274,less -3%,NA,< .05,sig,NA,NA,NA,NA,0.228,over 3%,NA,0.329,-0.127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
184,Boudreaux,2018,-,Controlled,EE,kcal/bout,Fitbit,Charge 2,Fitbit Charge 2,2016,Wrist,"wrist, random",full-text,y,Indirect calorimetry (Parvo Medics TrueOne 2400),indirect calorimetry,NA,NA,50,22,28,healthy adults,A,H,22.71,2.99,67.79,14.01,162.71,5.79,25.83,4.83,"LA, USA",Resistance Exercise,Activity,Mi,Mi,NA,NA,N,NA,"resistance exercise, 10RMs, mean of session",NA,average of session,50,"Across all devices, as exercise intensity increased, there was greater underestimation of HR. No device was valid for EE during cycling or resistance exercise.",ICC,0.08,VW,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.2,4.64,74.98,3.41,under,NA,NA,NA,NA,-0.077087223,less -3%,NA,NA,NA,NA,NA,NA,NA,0.4785,over 3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
185,Boudreaux,2018,-,Controlled,EE,kcal/bout,Fitbit,Charge 2,Fitbit Charge 2,2016,Wrist,"wrist, random",full-text,y,Indirect calorimetry (Parvo Medics TrueOne 2400),indirect calorimetry,NA,NA,50,22,28,healthy adults,A,H,22.71,2.99,67.79,14.01,162.71,5.79,25.83,4.83,"LA, USA",Cycle,Activity,Mi,Mi,NA,NA,N,NA,"cycling, graded exercise test, mean of session",NA,average of session,50,"Across all devices, as exercise intensity increased, there was greater underestimation of HR. No device was valid for EE during cycling or resistance exercise.",ICC,0.18,VW,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.28,3.56,64.48,3.64,under,NA,NA,NA,NA,-0.421836228,less -3%,NA,NA,NA,NA,NA,NA,NA,0.7515,over 3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
186,Gillinov,2017,-,Controlled,HR,bpm,Fitbit,Blaze,Fitbit Blaze,2016,Wrist,"wrist, random",full-text,y,Electrocardiography (Quinton Q-tel RMS),ECG,NA,NA,50,23,27,healthy adults,A,H,38,12,73,16,171,11,25,3.5,"OH, USA",Ambulation: Treadmill,Activity,At,Nr,Mi,NA,N,NA,"treadmill, 3 intensities x1.5 min each, total 4.5 min
2 mph for 1.5 min (2.5 METs)
3.5 mph for 1.5 min (3.7 METs)
6 mph for 1.5 min (10.2 METs)
HR recorded at completion of each 1.5 min stage",2 min,period of approx. 5 seconds,50,underestimate,CCC,0.76,ST,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,under,-5.9,17.5,NA,NA,NA,NA,NA,NA,NA,12.4,13.7,NA,NA,0.104,over 3%,0.108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
187,Gillinov,2017,-,Controlled,HR,bpm,Fitbit,Blaze,Fitbit Blaze,2016,Wrist,"wrist, random",full-text,y,Electrocardiography (Quinton Q-tel RMS),ECG,NA,NA,50,23,27,healthy adults,A,H,38,12,73,16,171,11,25,3.5,"OH, USA",Exercise: Elliptical,Activity,Mi,C,NA,NA,N,NA,"elliptical, arms, 3 intensities x1.5 min each, total 4.5 min
light: crossramp 1, resistance 1, cadence 60-70/min
mod: crossramp 1, resistance 5, cadence 90-100/min
vig: crossramp 10, resistance 10, cadence 90-100/min
HR recorded at completion of each 1.5 min stage",2 min,period of approx. 5 seconds,50,underestimate,CCC,0.48,MOD,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,under,-2.1,20.2,NA,NA,NA,NA,NA,NA,NA,13.8,14.9,NA,NA,0.117,over 3%,0.121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,Gillinov,2017,-,Controlled,HR,bpm,Fitbit,Blaze,Fitbit Blaze,2016,Wrist,"wrist, random",full-text,y,Electrocardiography (Quinton Q-tel RMS),ECG,NA,NA,50,23,27,healthy adults,A,H,38,12,73,16,171,11,25,3.5,"OH, USA",Cycle,Activity,Mi,Mi,NA,NA,N,NA,"cycle, 3 intensities x1.5 min each, total 4.5 min
25W for 1.5 min (2.4 METs for 70kg person)
55W for 1.5 min (3.7 METs for 70kg person)
125W for 1.5 min (8.8 METs for 70kg person)
HR recorded at completion of each 1.5 min stage",2 min,period of approx. 5 seconds,50,underestimate,CCC,0.41,MOD,0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,under,-18.2,25.2,NA,NA,NA,NA,NA,NA,NA,18.9,24.6,NA,NA,0.159,over 3%,0.182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
189,Boudreaux,2018,-,Controlled,HR,bpm,Fitbit,Charge 2,Fitbit Charge 2,2016,Wrist,"wrist, random",full-text,y,Electrocardiography (Quinton Q4500),ECG,upper torso,Torso,50,22,28,healthy adults,A,H,22.71,2.99,67.79,14.01,162.71,5.79,25.83,4.83,"LA, USA",Rest: Seated,Rest,Se,NA,NA,NA,N,NA,"rest, 5 min, mean of session",NA,average of session,50,"Across all devices, as exercise intensity increased, there was greater underestimation of HR. No device was valid for EE during cycling or resistance exercise.",ICC,0.92,VS,0.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,under,-1.42,6.92,-14.98,12.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0468,over 3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
190,Boudreaux,2018,-,Controlled,HR,bpm,Fitbit,Charge 2,Fitbit Charge 2,2016,Wrist,"wrist, random",full-text,y,Electrocardiography (Quinton Q4500),ECG,upper torso,Torso,50,22,28,healthy adults,A,H,22.71,2.99,67.79,14.01,162.71,5.79,25.83,4.83,"LA, USA",Rest: Seated,Rest,Se,NA,NA,NA,N,NA,"rest, 5 min, mean of session",NA,average of session,50,"Across all devices, as exercise intensity increased, there was greater underestimation of HR. No device was valid for EE during cycling or resistance exercise.",ICC,0.83,VS,0.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,under,-1.66,9.57,-20.42,17.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0614,over 3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,Boudreaux,2018,-,Controlled,HR,bpm,Fitbit,Charge 2,Fitbit Charge 2,2016,Wrist,"wrist, random",full-text,y,Electrocardiography (Quinton Q4500),ECG,upper torso,Torso,50,22,28,healthy adults,A,H,22.71,2.99,67.79,14.01,162.71,5.79,25.83,4.83,"LA, USA",Resistance Exercise,Activity,Mi,Mi,NA,NA,N,NA,"resistance exercise, 10RMs, mean of session",5 min,average of session,50,"Across all devices, as exercise intensity increased, there was greater underestimation of HR. No device was valid for EE during cycling or resistance exercise.",ICC,0.59,MOD,0.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,under,-9.63,18.06,-42.27,23.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0997,over 3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
192,Boudreaux,2018,-,Controlled,HR,bpm,Fitbit,Charge 2,Fitbit Charge 2,2016,Wrist,"wrist, random",full-text,y,Electrocardiography (Quinton Q4500),ECG,upper torso,Torso,50,22,28,healthy adults,A,H,22.71,2.99,67.79,14.01,162.71,5.79,25.83,4.83,"LA, USA",Cycle,Activity,Mi,Mi,NA,NA,N,NA,"cycling, graded exercise test, 0W, 2 min, mean of intensity",NA,6 time points,50,"Across all devices, as exercise intensity increased, there was greater underestimation of HR. No device was valid for EE during cycling or resistance exercise.",ICC,0.69,ST,0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,under,-4.52,13.67,-31.32,22.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1055,over 3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
193,Boudreaux,2018,-,Controlled,HR,bpm,Fitbit,Charge 2,Fitbit Charge 2,2016,Wrist,"wrist, random",full-text,y,Electrocardiography (Quinton Q4500),ECG,upper torso,Torso,50,22,28,healthy adults,A,H,22.71,2.99,67.79,14.01,162.71,5.79,25.83,4.83,"LA, USA",Cycle,Activity,Mi,Mi,NA,NA,N,NA,"cycling, graded exercise test, 50W, 2 min, mean of intensity",NA,6 time points,50,"Across all devices, as exercise intensity increased, there was greater underestimation of HR. No device was valid for EE during cycling or resistance exercise.",ICC,0.47,MOD,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,under,-11.4,21.59,-53.71,30.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2075,over 3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
194,Keating,2018,-,Controlled,SC,steps/100 steps,Fitbit,Charge 2,Fitbit Charge 2,2016,Wrist,"wrist, ND",full-text,y,Accelerometry (Yamax Digi-Walker SW-200 [waist]),accelerometry,waist,Waist/Hip,17,4,13,healthy adults,A,H,20.35,0.86,NA,NA,NA,NA,21.95,1.35,"TX, USA",Run: Overground,NA,Ao,Nr,R,NA,N,NA,"run, self-selected pace (70-90% maxHR), 100 steps x3",NA,unknown,17,good validity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.58,5.08,100,0,over,NA,NA,NA,NA,0.0258,± 3%,NA,NA,ns,NA,NA,NA,NA,0.0442,over 3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,t = 2.04
195,Keating,2018,-,Controlled,SC,steps/100 steps,Fitbit,Charge 2,Fitbit Charge 2,2016,Wrist,"wrist, ND",full-text,y,Accelerometry (Yamax Digi-Walker SW-200 [waist]),accelerometry,waist,Waist/Hip,17,4,13,healthy adults,A,H,20.35,0.86,NA,NA,NA,NA,21.95,1.35,"TX, USA",Jog: Overground,NA,Ao,Nr,R,NA,N,NA,"jog, self-selected pace, 100 steps x3",NA,unknown,17,good validity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.64,3.61,100,0,over,NA,NA,NA,NA,0.0164,± 3%,NA,NA,ns,NA,NA,NA,NA,0.0326,over 3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,t = 1.81
196,Keating,2018,-,Controlled,SC,steps/100 steps,Fitbit,Charge 2,Fitbit Charge 2,2016,Wrist,"wrist, ND",full-text,y,Accelerometry (Yamax Digi-Walker SW-200 [waist]),accelerometry,waist,Waist/Hip,17,4,13,healthy adults,A,H,20.35,0.86,NA,NA,NA,NA,21.95,1.35,"TX, USA",Walk: Overground,NA,Ao,Nr,Nm,NA,N,NA,"walk, self-selected pace, 100 steps x3",NA,unknown,17,underestimate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.21,4.87,100,0,under,NA,NA,NA,NA,-0.0279,± 3%,NA,< .05,sig,NA,NA,NA,NA,0.0454,over 3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,t = -2.30
197,Reddy,2018,-,Controlled,EE,kcal/28 min,Fitbit,Charge 2,Fitbit Charge 2,2016,Wrist,"wrist, random",full-text,y,Indirect calorimetry (COSMED K4b2 or K5),indirect calorimetry,NA,NA,20,9,11,healthy adults,A,H,27.5,6,67.9,10.8,173.2,9.5,22.5,2.3,"ON, CAN
OR, USA",Simulated Free-Living,Activity,Mi,Mi,NA,NA,N,NA,"28 min, 6 ADLs x 3 min duration, preceded and followed by 2 min rest",NA,unknown,20,underestimate,Pearson,0.29,WK,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.5,38.2,114.4,25.7,under,-10.9,39.4,NA,NA,-0.088,less -3%,0.292,NA,NA,NA,NA,NA,NA,0.209,over 3%,0.218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
198,Reddy,2018,-,Controlled,EE,kcal/full bout,Fitbit,Charge 2,Fitbit Charge 2,2016,Wrist,"wrist, random",full-text,y,Indirect calorimetry (COSMED K4b2 or K5),indirect calorimetry,NA,NA,20,9,11,healthy adults,A,H,27.5,6,67.9,10.8,173.2,9.5,22.5,2.3,"ON, CAN
OR, USA",Resistance Exercise,Activity,Mi,Mi,NA,NA,N,NA,"2 sets of 8 repetition max of all the major muscle groups (DB bicep curls, Romanian deadlifts, Bulgarian split squat, DB bench press, DB shoulder press, DB step ups.)",NA,unknown,20,underestimate,Pearson,0.54,MOD,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130.2,46.2,153.1,45.5,under,-22.9,44,NA,NA,-0.129,less -3%,0.297,NA,NA,NA,NA,NA,NA,0.277,over 3%,0.159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
199,Reddy,2018,-,Controlled,EE,kcal/27 min,Fitbit,Charge 2,Fitbit Charge 2,2016,Wrist,"wrist, random",full-text,y,Indirect calorimetry (COSMED K4b2 or K5),indirect calorimetry,NA,NA,20,9,11,healthy adults,A,H,27.5,6,67.9,10.8,173.2,9.5,22.5,2.3,"ON, CAN
OR, USA",Ambulation: Treadmill,Activity,At,Nr,Mi,NA,N,NA,"2 min warmup, 5 cycles of (2 min walk at pace and incline corresponding to ~30% HRR, 2 min run at pace and incline corresponding to ~80% HRR), 5 min cooldown",NA,unknown,20,underestimate,Pearson,0.88,VS,0.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,211.1,57,246.6,71.9,under,-35.5,34.6,NA,NA,-0.131,less -3%,0.127,NA,NA,NA,NA,NA,NA,0.145,over 3%,0.109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
